Date,Type,Saros,Magnitude,Latitude,Longitude,Duration
1902-04-22,Total,120,1.34,-3.1,-12.7,01h28m
1910-11-16,Total,125,1.72,9.3,102.5,01h40m
1921-09-16,Total,128,1.38,0.7,-90.3,01h32m
1949-11-07,Total,134,1.33,-6.5,75.9,01h26m
1964-06-25,Total,139,1.68,-0.2,40.6,01h39m
1982-07-06,Total,139,1.67,-4.7,-160.2,01h38m
1996-09-27,Total,138,1.36,2.9,-59.7,01h29m
2018-07-27,Total,129,1.61,-13.9,-30.6,01h43m
2025-09-07,Total,138,1.42,-6.2,155.4,01h34m
2033-10-08,Total,136,1.35,-4.0,-55.1,01h26m
2042-04-26,Total,122,1.32,3.8,93.3,01h21m
2060-08-28,Total,129,1.59,-10.4,-5.9,01h40m
2084-07-30,Total,139,1.7,0.3,60.1,01h44m
2095-09-18,Total,138,1.39,-2.3,152.6,01h30m
